subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
  86	je	1	train		ivd	neg	 7	7	32	Female	white
  86	je	3	linebacker	ml	neg	 1	1	32	Female	white
  86	je	5	driver		ident	neg	 7	3	32	Female	white
  86	je	2	construct	cc	pos	 2	2	32	Female	white
  86	je	4	fire		hs	pos	 5	7	32	Female	white
  87	je	1	construct	ivd	neg	 6	5	33	Male	white
  87	je	2	fire		ml	neg	 1	1	33	Male	white
  87	je	3	driver		hs	pos	 6	7	33	Male	white
  87	je	4	train		ident	pos	 6	4	33	Male	white
  87	je	5	linebacker	cc	pos	 1	4	33	Male	white
  88	je	2	driver		ivd	neg	 7	3	27	Female	white
  88	je	3	linebacker	ident	neg	 5	3	27	Female	white
  88	je	1	train		cc	pos	 2	2	27	Female	white
  88	je	4	fire		ml	pos	 1	1	27	Female	white
  88	je	5	construct	hs	pos	 2	7	27	Female	white
  89	je	1	fire		ivd	neg	 7	4	32	Male	white
  89	je	2	train		ident	pos	 6	4	32	Male	white
  89	je	3	linebacker	cc	pos	 5	7	32	Male	white
  89	je	4	construct	ml	pos	 4	4	32	Male	white
  89	je	5	driver		hs	pos	 7	7	32	Male	white
  90	se	2	driver		hs	neg	 7	7	27	Female	white
  90	se	4	linebacker	ivd	neg	 6	6	27	Female	white
  90	se	5	construct	cc	neg	 2	2	27	Female	white
  90	se	1	train		ml	pos	 2	2	27	Female	white
  90	se	3	fire		ident	pos	 7	6	27	Female	white
  91	je	1	train		ivd	neg	 7	7	23	Male	white
  91	je	2	linebacker	ml	neg	 3	5	23	Male	white
  91	je	3	driver		ident	neg	 3	6	23	Male	white
  91	je	5	fire		hs	neg	 3	6	23	Male	white
  91	je	4	construct	cc	pos	 4	4	23	Male	white
  92	se	1	train		cc	neg	 1	3	50	Male	white
  92	se	2	fire		ivd	neg	 5	4	50	Male	white
  92	se	4	construct	hs	neg	 7	7	50	Male	white
  92	se	3	driver		ml	pos	 1	1	50	Male	white
  92	se	5	linebacker	ident	pos	 3	2	50	Male	white
  93	je	1	construct	ident	neg	 7	5	30	Female	white
  93	je	3	linebacker	cc	neg	 3	6	30	Female	white
  93	je	2	driver		ivd	pos	 7	6	30	Female	white
  93	je	4	fire		ml	pos	 6	6	30	Female	white
  93	je	5	train		hs	pos	 6	7	30	Female	white
  94	je	1	construct	hs	neg	 7	7	24	Female	white
  94	je	2	fire		ml	neg	 7	7	24	Female	white
  94	je	4	driver		ivd	neg	 1	1	24	Female	white
  94	je	5	train		cc	neg	 7	7	24	Female	white
  94	je	3	linebacker	ident	pos	 7	7	24	Female	white
  95	je	3	fire		ident	neg	 7	7	28	Female	white
  95	je	4	driver		cc	neg	 7	7	28	Female	white
  95	je	5	linebacker	hs	neg	 4	7	28	Female	white
  95	je	1	train		ivd	pos	 7	7	28	Female	white
  95	je	2	construct	ml	pos	 7	7	28	Female	white
  96	se	5	driver		cc	neg	 7	7	29	Male	white
  96	se	1	fire		hs	pos	 6	7	29	Male	white
  96	se	2	linebacker	ident	pos	 7	4	29	Male	white
  96	se	3	construct	ivd	pos	 7	7	29	Male	white
  96	se	4	train		ml	pos	 4	4	29	Male	white
  97	se	1	train		ivd	neg	 7	7	54	Female	white
  97	se	4	driver		cc	neg	 5	5	54	Female	white
  97	se	2	construct	hs	pos	 7	7	54	Female	white
